time(s),Throughput_5mb(mbps),Throughput_10mb(mbps),Throughput_20mb(mbps),Throughput_30mb(mbps),Throughput_50mb(mbps),Throughput_100mb(mbps)
0,0,0,0,0,0,1.023872016
1,0.315052688,0.585059277,0.682552908,0.819036193,1.364878374,1.023872016
2,0.315052688,0.585059277,0.819036193,0.585059277,1.023744064,1.170118554
3,0.511936008,0.682552908,0.819036193,0.819036193,1.364878374,1.638072386
4,0.341304891,0.511936008,0.819036193,0.682552908,1.364878374,1.365105816
5,0.372329788,0.682552908,0.682552908,0.819036193,0.682552908,2.047488128
6,0.511936008,0.682552908,0.819036193,0.585059277,1.023744064,1.638072386
7,0.409559044,0.409559044,0.819036193,1.023744064,0.682552908,0.910121098
8,0.455060549,0.315052688,0.455060549,0.585059277,1.023744064,0.910121098
9,0.455060549,0.315052688,0.819036193,0.819036193,0.819036193,1.023872016
10,0.409559044,0.315052688,0.682552908,0.819036193,0.819036193,1.638072386
11,0.455060549,0.186173356,0.819036193,0.682552908,1.023744064,1.638072386
12,0.341304891,0.292550532,0.511936008,0.819036193,0.682552908,1.638072386
13,0.315052688,0.273048463,0.819036193,0.819036193,1.023744064,1.365105816
14,0.455060549,0.315052688,0.819036193,1.023744064,0.819036193,2.047488128
15,0.315052688,0.273048463,0.819036193,0.682552908,1.023744064,0.910121098
16,0.372329788,0.372329788,0.819036193,1.023744064,0.819036193,2.047488128
17,0.409559044,0.455060549,0.511936008,0.682552908,0.682552908,1.023872016
18,0.409559044,0.682552908,0.682552908,1.023744064,1.023744064,1.023872016
19,0.455060549,0.315052688,0.682552908,1.023744064,0.819036193,1.365105816
20,0.315052688,0.682552908,0.819036193,1.023744064,1.023744064,1.638072386
21,0.315052688,0.511936008,0.819036193,1.023744064,0.819036193,0.910121098
22,0.124117451,0.585059277,1.023744064,1.023744064,1.023744064,1.170118554
23,0.341304891,0.682552908,0.585059277,1.023744064,1.023744064,2.047488128
24,0.409559044,0.682552908,0.585059277,0.682552908,0.819036193,2.047488128
25,0.341304891,0.585059277,0.511936008,1.023744064,0.819036193,1.638072386
26,0.341304891,0.585059277,0.819036193,0.819036193,1.023744064,2.047488128
27,0.455060549,0.682552908,0.819036193,0.819036193,1.023744064,2.047488128
28,0.455060549,0.682552908,0.682552908,0.682552908,1.023744064,1.023872016
29,0.372329788,0.511936008,0.819036193,1.023744064,1.023744064,2.047488128
30,0.409559044,0.682552908,0.682552908,0.819036193,1.023744064,2.047488128
